id,interference
4,0
5,1
6,1
7,0
8,1
9,0
10,0
11,1
12,0
14,1
15,0
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,0
24,0
25,1
26,1
27,0
28,0
29,0
30,0
31,0
32,0
33,1
34,0
35,0
36,0
37,0
38,0
39,1
40,0
41,0
42,0
43,0
44,0
45,0
46,1
47,0
48,0
49,0
50,0
51,1
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,1
66,1
68,0
69,0
70,0
71,0
72,1
73,0
74,0
75,0
76,1
77,0
78,1
79,0
80,0
81,0
82,0
83,0
84,0
86,0
87,0
88,1
89,0
90,0
91,0
92,0
93,0
94,1
95,1
96,1
101,0
102,0
103,0
105,0
106,0
107,0
108,1
109,0
110,0
